ABN|FundName|USI|ProductName|ContributionRestrictions|From|To
12409847022|THE MARIE A HARDING SUPERANNUATION FUND|12409847022001|The Marie A Harding Superannuation Fund|N|2013-07-01|9999-12-31
12417676627|Adams Superannuation fund|12417676627001|Adams Superannuation Fund|N|2013-07-01|9999-12-31
12557368298|DL CRANWELL PRIVATE CASHBACK PENSION|12557368298001|DL Cranwell Private Cashback Pension|N|2013-07-01|9999-12-31
12576294127|The Trustee for Sobejko PSF|12576294127001|SOBEJKO PSF|N|2014-11-13|9999-12-31
12609649392|J C MORGAN PRIVATE SUPER FUND|12609649392001|J C Morgan Private Super Fund|N|2013-07-01|9999-12-31
12643612589|The Trustee for Ataahua Superannuation Fund|12643612589001|Ataahua Superannuation Fund|N|2013-07-01|9999-12-31
12649242068|THE D W & G J HIPWORTH PRIVATE SUPER FUND|12649242068001|The D W & G J Hipworth Private Super Fund|N|2013-07-01|9999-12-31
12657556998|The trustee for Walk Family Superannuation Fund|12657556998001|Walk Family Superannuation Fund|N|2017-10-18|9999-12-31
12726140833|KRAINE A BRIGGS SUPERANNUATION FUND|12726140833001|Kraine A Briggs Superannuation Fund|N|2013-07-01|9999-12-31
12737334298|CLUB SUPER|12737334298001|Club Super|N|2013-07-01|9999-12-31
12856037914|J SMITHSON PRIVATE SUPER FUND|12856037914001|J Smithson Private Super Fund|N|2013-07-01|2019-06-30
12956001672|HEATHER FELDMAN SUPER FUND|12956001672001|Heather Feldman Super Fund|N|2013-07-01|9999-12-31
12977627036|The Trustee for The Woodhams Super Fund|12977627036001|THE WOODHAMS SUPER FUND|N|2013-07-01|9999-12-31
13030878389|LAMB SUPER FUND|13030878389001|Lamb Super Fund|N|2013-07-01|9999-12-31
13141979793|THE R W SUPERANNUATION FUND|13141979793001|The R W Superannuation Fund|N|2013-07-01|9999-12-31
13263002542|THE TRUSTEE FOR NAYLOR STEWART FAMILY SUPER FUND|13263002542001|Naylor Stewart Family Super Fund|N|2016-07-08|9999-12-31
13294861246|Trevor Magee PSF Account|13294861246001|Trevor Magee Psf Account|N|2013-07-01|9999-12-31
13295830703|WILLIAM MCINTOSH SUPER FUND|13295830703001|William Mcintosh Super Fund|N|2013-07-01|9999-12-31
13343458227|THE CLARVILLE PTY LTD SUPERANNUATION FUND|13343458227001|The Clarville Pty Ltd Superannuation Fund|N|2013-07-01|2019-06-30
13347463526|P M ROCKE PRIVATE SUPERANNUATION FUND|13347463526001|P M Rocke Private Superannuation Fund|N|2013-07-01|9999-12-31
13355603448|The Trustee for ING SUPERANNUATION FUND|13355603448001|ING Living Super|N|2013-07-01|9999-12-31
13362078183|GLENLEA HOLDINGS P / L PRIVATE SUPERANNUATION FUND|13362078183001|Glenlea Holdings P / L Private Superannuation Fund|N|2013-07-01|9999-12-31
13434690676|J A & G M BENHAM SUPER FUND|13434690676001|J A & G M Benham Super Fund|N|2013-07-01|9999-12-31
13505763964|NORMAN SIEGERT SUPER FUND|13505763964001|Norman Siegert Super Fund|N|2013-07-01|9999-12-31
13537597715|LIROB SUPERANNUATION FUND|13537597715001|Lirob Superannuation Fund|N|2013-07-01|9999-12-31
13704288646|The Trustee for LESF Super|13704288646001|GROW Super|N|2017-05-17|9999-12-31
13704288646|The Trustee for LESF Super|13704288646002|Zuper Super|N|2018-06-29|9999-12-31
13704288646|The Trustee for LESF Super|13704288646380|LESF|N|2014-01-01|9999-12-31
13704288646|The Trustee for LESF Super|13704288646777|Macmahon Employees Super|N|2015-11-02|9999-12-31
13718423406|The Trustee for Bouvelet Superannuation Fund|13718423406001|Bouvelet Superannuation Fund|N|2013-07-01|9999-12-31
13728430033|SLEK SUPERANNUATION FUND|13728430033001|SLEK Superannuation Fund|N|2013-07-01|9999-12-31
13834011821|Cavazzi Private Superannuation Fund|13834011821001|Cavazzi Private Superannuation Fund|N|2013-07-01|2019-06-30
13917747013|THE TRUSTEE FOR SUPER SAFEGUARD FUND|13917747013123|Super Safeguard|N|2013-07-01|9999-12-31
13934514763|THE TRUSTEE FOR T A REID PRIVATE SUPERANNUATIONFUND|13934514763001|T A Reid Private Superannuation Fund|N|2013-07-01|9999-12-31
14021551007|IRENE ROBIN O'BRIEN-POUNDE PRIVATE SUPERANNUATION|14021551007001|Irene Robin O'brien-Pounde Private Superannuation|N|2013-07-01|9999-12-31
14157073225|M DOOHAN PRIVATE SUPERANNUATION FUND|14157073225001|M Doohan Private Superannuation Fund|N|2013-07-01|9999-12-31
14170497673|ROBYN WARDLE FUND|14170497673001|Robyn Wardle Fund|N|2013-07-01|9999-12-31
14172484797|THE KNIGHTS THAT SAY NEE PRIVATE SUPERANNUATION FUND|14172484797001|The Knights That Say Nee Private Superannuation Fund|N|2013-07-01|9999-12-31
14204107057|The Trustee for T. Bunning Compensation Trust|14204107057001|T. BUNNING COMPENSATION TRUST|N|2013-07-01|9999-12-31
14220539581|I M HAMILTON PERSONAL SUPER FUND|14220539581001|I M Hamilton Personal Super Fund|N|2013-07-01|9999-12-31
14262993398|R K GATE SUPER FUND|14262993398001|R K Gate Super Fund|N|2013-07-01|9999-12-31
14276676739|The Trustee for Beale Superannuation Fund|14276676739001|Beale Superannuation Fund|N|2017-07-10|9999-12-31
14288132208|SIVAD PRIVATE SUPERANNUATION FUND|14288132208001|Sivad Pty Ltd Superannuation Fund|N|2013-07-01|9999-12-31
14328812708|The Trustee for Keldar Consolidated Superannuation Fund|14328812708001|Keldar Consolidated Superannuation Fund|N|2013-07-01|9999-12-31
14335472820|The Trustee for Lawrence Superannuation Fund|14335472820001|LAWRENCE SUPERANNUATION FUND|N|2014-07-24|9999-12-31
14340388245|THE TRUSTEE FOR R & M HAYES SUPER FUND|14340388245001|R & M Hayes Super Fund|N|2016-02-17|2019-06-30
14351009700|A B HARPER PRIVATE SUPERANNUATION FUND|14351009700001|A B Harper Private Superannuation Fund|N|2013-07-01|9999-12-31
14387741413|The Trustee for Riches & Belcher Super Fund|14387741413001|Riches & Belcher Super Fund|N|2013-07-01|9999-12-31
14434508026|The Trustee for PPS CORPORATE SUPERANNUATION FUND|14434508026001|The PPS Corporate Superannuation Fund|N|2013-11-19|9999-12-31
14459592943|J K LLOYD PRIVATE SUPER FUND|14459592943001|J K Lloyd Private Super Fund|N|2013-07-01|2019-06-30
14500368094|R C & E D BRYANT PRIVATE SUPER FUND|14500368094001|R C & E D Bryant Private Super Fund|N|2013-07-01|9999-12-31
14602032302|THE TRUSTEE FOR TASPLAN SUPERANNUATION FUND|TPN0100AU|Tasplan Superannuation Fund|N|2013-07-01|9999-12-31
14645021243|SMITH & STEVENSON SUPERANNUATION FUND|14645021243001|Smith & Stevenson Superannuation Fund|N|2013-07-01|9999-12-31
14685360636|The Trustee for I & M TREDINNICK SUPERANNUATION FUND|14685360636001|I & M Tredinnick Superannuation Fund|N|2013-07-01|9999-12-31
14697966326|The Trustee for Craig Nelmes Superfund|14697966326001|CRAIG NELMES SUPERFUND|N|2017-11-27|9999-12-31
14739691203|J R GRIMSHAW PRIVATE PENSION FUND|14739691203001|J R Grimshaw Private Pension Fund|N|2013-07-01|9999-12-31
14805495980|C MINHARD PRIVATE SUPERANNUATION FUND|14805495980001|C Minhard Private Superannuation Fund|N|2013-07-01|9999-12-31
14854523984|ARMSTRONG SUPERANNUATION FUND|14854523984001|Armstrong Superannuation Fund|N|2013-07-01|9999-12-31
14895922426|The Trustee for Streitberg Private Superannuation Fund|14895922426001|STREITBERG PRIVATE SUPERANNUATION FUND|N|2014-02-14|9999-12-31
14897475676|The Trustee for C & K Dexter Superannuation Fund|14897475676001|C & K Dexter Superannuation Fund|N|2013-07-01|9999-12-31
14985260442|G W SHEARER SUPER FUND|14985260442001|G W Shearer Super Fund|N|2013-07-01|9999-12-31
15088395090|A J MCCOLL PSF|15088395090001|A J Mccoll Psf|N|2013-07-01|9999-12-31
15122429432|K J TRUEMAN PRIVATE SUPERANNUATION FUND|15122429432001|K J Trueman Private Superannuation Fund|N|2013-07-01|9999-12-31
15142710374|P T OWEN PTY LTD PRIVATE SUPER FUND|15142710374001|P T Owen Pty Ltd Private Superannuation Fund|N|2013-07-01|9999-12-31
15146032346|PJ ESHMADE PRIVATE ALLOCATED PENSION|15146032346001|PJ Eshmade Private Allocated Pension|N|2013-07-01|9999-12-31
15150396313|THE TRUSTEE FOR MARION WESLEY PRIVATE PENSION FUND|15150396313001|Marion Wesley Private Pension Fund|N|2016-11-12|9999-12-31
15168578075|DAVID JAMES BOXELL SUPERANNUATION FUND|15168578075001|David James Boxell Superannuation Fund|N|2013-07-01|2019-06-30
15246034601|WELTON SUPER FUND|15246034601001|Welton Super Fund|N|2013-07-01|9999-12-31
15260523913|The Trustee for Richard Lucas PSF|15260523913001|Richard Lucas Psf|N|2013-07-01|9999-12-31
15274034065|BAKER FAMILY SUPER FUND|15274034065001|Baker Family Super Fund|N|2013-07-01|9999-12-31
15295727226|BEALE SUPERANNUATION FUND|15295727226001|Beale Superannuation Fund|N|2013-07-01|9999-12-31
15302423166|J WARE PRIVATE SUPERANNUATION FUND|15302423166001|J Ware Private Superannuation Fund|N|2013-07-01|9999-12-31
15305863350|LS & BT ANDERSON PRIVATE SUPER FUND|15305863350001|Ls & Bt Anderson Private Super Fund|N|2013-07-01|9999-12-31
15334076319|ROBYN FAIRWEATHER SUPER FUND|15334076319001|Robyn Fairweather Superannuation Fund|N|2013-07-01|9999-12-31
15356347679|The Trustee for While-Away-The-Hours|15356347679001|While-Away-The-Hours|N|2013-07-01|9999-12-31
15422102060|The Trustee for W G Morris Super Fund|15422102060001|W G Morris Super Fund|N|2013-07-01|9999-12-31
15480830700|R J BRAZIER PRIVATE SUPERANNUATION FUND|15480830700001|R J Brazier Private Superannuation Fund|N|2013-07-01|9999-12-31
15517945655|BRIAN KEITH WATERMAN PSF|15517945655001|Brian Keith Waterman Psf|N|2013-07-01|9999-12-31
15537381012|HOPKINS SUPERANNUATION FUND|15537381012001|Hopkins Superannuation Fund|N|2013-07-01|9999-12-31
15549636673|QLD INDEPENDENT EDUCATION & CARE SUPERANNUATION TRUST|15549636673001|Qiec Super|N|2013-07-01|2019-07-02
15570931519|THE TRUSTEE FOR NORTHERN TERRITORY SUPPLEMENTARY SUPERANNUATION SCHEME|15570931519001|The Northern Territory Supplementary Superannuation Scheme|Y|2013-07-01|9999-12-31
15570931519|THE TRUSTEE FOR NORTHERN TERRITORY SUPPLEMENTARY SUPERANNUATION SCHEME|15570931519002|Northern Territory Government Death and Invalidity Scheme|Y|2013-07-01|9999-12-31
15570931519|THE TRUSTEE FOR NORTHERN TERRITORY SUPPLEMENTARY SUPERANNUATION SCHEME|15570931519003|Northern Territory Superannuation Office - NTPSBS Commutations|Y|2013-07-01|9999-12-31
15590641087|R E ALEXY SUPER FUND|15590641087001|R E Alexy Super Fund|N|2013-07-01|9999-12-31
15669534024|J H & M E DEBNEY PRIVATE SUPERANNUATION FUND|15669534024001|J H & M E Debney Private Superannuation Fund|N|2013-07-01|9999-12-31
15806650235|crofts family superannuation fund|15806650235001|Crofts Family Superannuation Fund|N|2013-07-01|9999-12-31
15820400967|GREENFEEN PRIVATE SUPERANNUATION FUND|15820400967001|Greenfeen Private Superannuation Fund|N|2013-07-01|9999-12-31
15828677472|PITCHER RETIREMENT PLAN|15828677472001|Pitcher Retirement Plan|N|2013-07-01|9999-06-30
16004981062|G F DAVIES PRIVATE SUPERANNUATION FUND|16004981062001|G F Davies Private Superannuation Fund|N|2013-07-01|9999-12-31
16041684025|R J WATT PRIVATE SUPERANNUATION FUND|16041684025001|R J Watt Private Superannuation Fund|N|2013-07-01|9999-12-31
16089141380|GEORGE & SANDRA BURTON PRIVATE SUPER FUND|16089141380001|George & Sandra Burton Private Super Fund|N|2013-07-01|9999-12-31
16160760872|The Neil Hodgson Private Super Fund|16160760872001|The Neil Hodgson Private Super Fund|N|2013-07-01|9999-12-31
16231343101|RC Goodwin Allocated Pension|16231343101001|Rc Goodwin Allocated Pension|N|2013-07-01|9999-12-31
16275318535|G & P MITCHELL SUPER ACCOUNT|16275318535001|G & P Mitchell Super Account|N|2013-07-01|9999-12-31
16317234069|QUINCEY PENSION FUND|16317234069001|Quincey Pension Fund|N|2013-07-01|9999-12-31
16425572838|P J HEARNE PRIVATE SUPERANNUATION FUND|16425572838001|P J Hearne Private Superannuation Fund|N|2013-07-01|9999-12-31
16455732794|TINGEY SUPERANNUATION FUND|16455732794001|Tingey Superannuation Fund|N|2013-07-01|9999-12-31
16457520308|The Trustee for MINE SUPERANNUATION FUND|16457520308001|Mine Super|N|2013-07-01|2999-12-31
16457520308|The Trustee for MINE SUPERANNUATION FUND|16457520308002|Mine Pension|Y|2013-07-01|2999-12-31
16457520308|The Trustee for MINE SUPERANNUATION FUND|16457520308003|Mine Super Miners Fund|Y|2018-10-01|2999-12-31
16457520308|The Trustee for MINE SUPERANNUATION FUND|16457520308004|Mine Term Allocated Pension|Y|2018-10-01|2999-12-31
16517650366|ABBAS SUPERANNUATION FUND|16517650366001|Abbas Superannuation Fund|N|2013-07-01|9999-12-31
16586599262|KEVIN & DIANA ASCOLI SUPERANNUATION FUND|16586599262001|Kevin & Diana Ascoli Superannuation Fund|N|2013-07-01|9999-12-31
16662595514|DELROY JAMES PRIVATE SUPERANNUATION FUND|16662595514001|Delroy James Private Superannuation Fund|N|2013-07-01|9999-12-31
16671124954|BURGESS-GRAHAME PSF|16671124954001|Burgess Grahame PSF|N|2013-07-01|9999-12-31
16741354384|TURNBULL FAMILY SUPER FUND|16741354384001|Turnbull Family Super Fund|N|2013-07-01|9999-12-31
16743073447|The Trustee for J & A WOMERSLEY SUPER FUND|16743073447001|J & A Womersley Super Fund|N|2015-08-13|9999-12-31
16798615466|The trustee for The Robinson Superannuation Fund|16798615466001|The Robinson Superannuation Fund|N|2013-07-01|9999-12-31
16817884739|M A BOND PRIVATE SUPERANNUATION FUND|16817884739001|M A Bond Private Superannuation Fund|N|2013-07-01|9999-12-31
16824578504|F CARTER P S F|16824578504001|F Carter P S F|N|2013-07-01|9999-12-31
16881420729|R G REID PRIVATE SUPERANNUATION FUND|16881420729001|R G Reid Private Superannuation Fund|N|2013-07-01|9999-12-31
16892414384|L & A LOWE PRIVATE SUPERANNUATION FUND|16892414384001|L & A Lowe Private Superannuation Fund|N|2013-07-01|9999-12-31
16926554070|KENCH SUPERANNUATION FUND|16926554070001|Kench Superannuation Fund|N|2013-07-01|9999-12-31
16938600520|C JONES PRIVATE SUPERANNUATION FUND|16938600520001|C Jones Private Superannuation Fund|N|2013-07-01|9999-12-31
16948487142|E J LINGARD PRIVATE ALLOCATED PENSION|16948487142001|E J Lingard Private Allocated Pension|N|2013-07-01|9999-12-31
17030037142|The Graham Sands Private Super Fund|17030037142001|The Graham Sands Private Super Fund|N|2013-07-01|9999-12-31
17032530252|The Trustee for Peter Daniel Super Fund|17032530252001|Peter Daniel Super Fund|N|2013-07-01|9999-12-31
17048255851|DUNN FAMILY SUPERANNUATION FUND|17048255851001|Dunn Family Superannuation Fund|N|2013-07-01|9999-12-31
17157500152|W P WEBSTER JNR AND LESLEY M WEBSTER SUPER FUND|17157500152001|Wayne P Webster Jnr & Lesley M Webster Super Fund|N|2013-07-01|9999-12-31
17161142905|SONYA WALKER SUPER FUND|17161142905001|Sonya Walker Super Fund|N|2013-07-01|9999-12-31
17237147996|BILL & KAYE LOUIS SUPERANNUATION FUND|17237147996001|Bill & Kaye Louis Superannuation Fund|N|2013-07-01|9999-12-31
17301268595|The Trustee for ANNA WOMERSLEY SUPER FUND|17301268595001|Anna Womersley Super Fund|N|2015-04-09|9999-12-31
17301937698|M A KARAFIL PRIVATE SUPERANNUATION FUND|17301937698001|M A Karafil Private Superannuation Fund|N|2013-07-01|9999-12-31
17317520544|MEAT INDUSTRY EMPLOYEES SUPERANNUATION FUND|17317520544000|Meat Industry Employees' Superannuation Fund|Y|2014-07-01|9999-12-31
17390288244|MACDONALD FAMILY SUPERANNUATION FUND|17390288244001|Macdonald Family Superannuation Fund|N|2013-07-01|9999-12-31
17422597961|LORRAINE COLES PRIVATE SUPERANNUATION FUND|17422597961001|Lorraine Coles Private Superannuation Fund|N|2013-07-01|9999-12-31
17503746472|G D EVANS PRIVATE SUPER FUND|17503746472001|G D Evans Private Super Fund|N|2013-07-01|9999-12-31
17514479938|The Trustee for Magic Ventures Super Fund|17514479938001|Magic Ventures Super Fund|N|2018-08-06|9999-12-31
17551909051|A R LANDER PRIVATE SUPERANNUATION FUND|17551909051001|A R Lander Private Superannuation Fund|N|2013-07-01|9999-12-31
17602828539|GEOFFREY MICHAEL STEEL DIY SUPER FUND|17602828539001|Geoffrey Michael Steel DIY Superannuation Fund|N|2013-07-01|9999-12-31
17608890083|The Trustee for ORACLE SUPERANNUATION PLAN|17608890083001|Oracle Superannuation Plan|Y|2013-07-01|9999-12-31
17612007616|KIRRINDINE SUPER FUND|17612007616001|Kirrindine Super Fund|N|2013-07-01|9999-12-31
17635494678|HOPEDALE SUPER FUND|17635494678001|Hopedale Super Fund|N|2013-07-01|9999-12-31
17716988109|D & B GEORGE RETIRMENT FUND|17716988109001|D & B George Retirement Fund|N|2013-07-01|9999-12-31
17746292214|WARRIS PRIVATE SUPER FUND|17746292214001|Warris Private Super Fund|N|2013-07-01|9999-12-31
17752985076|GATH SUPER FUND|17752985076001|Gath Super Fund|N|2013-07-01|9999-12-31
17859530306|MARSDEN FAMILY SUPER FUND|17859530306001|Marsden Family Super Fund|N|2013-07-01|9999-12-31
17872052042|BENERFUREP SUPER FUND|17872052042001|Benerfurep Super Fund|N|2015-11-20|2019-06-30
17894691763|THE RWF & PA STARLING PRIVATE SUPER FUND|17894691763001|The Rwf & Pa Starling Private Super Fund|N|2013-07-01|9999-12-31
18015091723|WOOLCOCK SUPERANNUATION FUND|18015091723001|Woolcock Superannuation Fund|N|2016-12-12|9999-12-31
18018053100|MORVIEW PARK SUPERANNUATION FUND|18018053100001|Morview Park Superannuation Fund|N|2013-07-01|9999-12-31
18062961206|M J TOWTON PRIVATE SUPERANNUATION FUND|18062961206001|M J Towton Private Superannuation Fund|N|2013-07-01|9999-12-31
18159499614|The Trustee for WA LOCAL GOVERNMENT SUPERANNUATION PLAN|WAL0001AU|WA Super Super Solutions|N|2013-11-01|9999-12-31
18254132535|TRESS COCKS & MADDOX PSF NO2 A/C|18254132535001|Tress Cocks & Maddox Psf No.2 A/C|N|2013-07-01|9999-12-31
18282218275|JOHN BLEACH PRIVATE ALLOCATED PENSION FUND|18282218275001|John Bleach Private Allocated Pension Fund|N|2013-07-01|9999-12-31
18291502706|DI STRACHAN & S BORLAND SUPER FUND|18291502706001|DI Strachan & S Borland Super Fund|N|2013-07-01|2019-06-30
18299448590|BARRETT SUPERANNUATION FUND|18299448590001|Barrett Superannuation Fund|N|2013-07-01|9999-12-31
18324791837|The Trustee for Peter Gleeson Superannuation Fund|18324791837001|Peter Gleeson Superannuation Fund|N|2013-07-01|9999-12-31
18341458192|The Trustee for Beati Futuri Superannuation Fund|18341458192001|Beati Futuri Superannuation Fund|N|2018-01-30|9999-12-31
18350138401|IRWIN ALLOCATED PENSION FUND|18350138401001|Irwin Allocated Pension Fund|N|2013-07-01|9999-12-31
18547035604|The Trustee for Peter J Kokkeler Super Fund|18547035604001|Peter J Kokkeler Super Fund|N|2013-07-01|9999-12-31
18577424801|GAAP INTERNATIONAL SUPER FUND|18577424801001|GAAP International Superannuation Fund|N|2013-07-01|9999-12-31
18712024725|G B & Y L DOHERTY PRIVATE SUPERANNUATION FUND|18712024725001|G B & Y L Doherty Private Superannuation Fund|N|2013-07-01|2019-06-30
18742239269|M G & J E DAVIDSON PRIVATE SUPERANNUATION FUND|18742239269001|M G & J E Davidson Private Superannuation Fund|N|2013-07-01|2019-06-30
18750759956|The Trustee for Williams Super Fund|18750759956001|Williams Super Fund|N|2017-08-18|9999-12-31
18765271771|HERB CLARK PRIVATE SUPER FUND|18765271771001|Herb Clark Private Super Fund|N|2013-07-01|9999-12-31
18964953916|BLAND SUPERANNUATION FUND|18964953916001|Bland Superannuation Fund|N|2013-07-01|9999-12-31
18971416884|The trustee for Fiona Hudson Super Fund|18971416884001|Fiona Hudson Super Fund|N|2013-07-01|9999-12-31
19162369470|M T HICKEY PRIVATE SUPER FUND|19162369470001|M T Hickey Private Super Fund|N|2013-07-01|9999-12-31
19306043620|The Trustee for Gergis Steven Super Fund|19306043620001|Gergis Steven Super Fund|N|2013-07-01|9999-12-31
19382576740|R W KEATING SUPERANNUATION FUND|19382576740001|R W Keating Padf|N|2013-07-01|9999-12-31
19415776361|CSS FUND|19415776361001|Commonwealth Superannuation Scheme|Y|2013-12-02|9999-12-31
19423542425|The Trustee for The R. J. Cox Super Fund|19423542425001|The R.J.Cox Super Fund|N|2018-05-04|9999-12-31
19449435792|G Scott Private Superannuation Fund|19449435792001|G Scott Private Superannuation Fund|N|2013-07-01|2019-06-30
19477006966|P H HORDICEK PRIVATE SUPERANNUATION FUND|19477006966001|P H Hordicek Private Superannuation Fund|N|2013-07-01|9999-12-31
19478209584|IRRIGATION DOCTOR STAFF SUPER FUND|19478209584001|Irrigation Doctor Staff Super Fund|N|2013-07-01|9999-12-31
19488196053|DONALD CRAIG SUPER FUND|19488196053001|Donald Craig Super Fund|N|2013-07-01|9999-12-31
19615115638|THE VICMIC SUPERANNUATION FUND|19615115638001|The Vicmic Superannuation Fund|N|2013-07-01|9999-12-31
19623920317|The trustee for C Corbett Super Fund|19623920317001|C Corbett Super Fund|N|2013-07-01|9999-12-31
19732469027|T D CASSIDY PRIVATE SUPERANNUATION FUND|19732469027001|T D Cassidy Private Superannuation Fund|N|2013-07-01|2019-06-30
19732719187|THE TRUSTEE FOR CUTTS FAMILY SUPERANNUATION FUND|19732719187001|Cutts Family Superannuation Fund|N|2017-03-17|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981046|IGT (Australia) Pty Ltd Superannuation Fund|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981049|Rider Levett Bucknall Staff Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981056|Scientific Games Products (Australia) Super Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981074|Becton Dickinson (Australia) Staff Super Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981087|Ferro Australia Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981089|Cameron Australasia Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981091|Coca Cola Australia Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981094|Australian Railroad Group Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981098|Koppers Australia Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981105|Innovia Films and CCL Secure Super Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981109|CPS Staff Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981116|CCI Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981118|HLRA Retirement Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981119|Automotive Holdings Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981123|Agrium Australia Staff Superannuation Plan|N|2014-10-15|9999-12-31
19905422981|The Trustee for MERCER SUPER TRUST|19905422981129|CNH Superannuation Plan|N|2014-10-15|9999-12-31
